pengaduan,kategori
"Mohon bantuan, Sinyal WiFi di gedung B sangat lemah",Jaringan
Mouse komputer fakultas rusak,Hardware
"Mohon bantuan, Saya lupa password akun kampus",Akun & Akses
"Permisi, Saya mengalami kendala pada halaman akademik",Sistem Akademik
Excel di fakultas sering mengalami error,Software
Printer fakultas mengalami kerusakan fisik,Hardware
"Mohon bantuan, Data KRS saya tidak muncul di SIAKAD",Sistem Akademik
"Permisi, Jaringan kampus di ruang kelas mengalami gangguan",Jaringan
"Mohon bantuan, Aplikasi di gedung B tidak merespons",Software
"Mohon bantuan, WiFi gedung B tidak bisa digunakan",Jaringan
"Tolong, Saya gagal masuk menggunakan akun kampus",Akun & Akses
"Permisi, Hak akses saya ke sistem belum tersedia",Akun & Akses
"Permisi, Koneksi internet di ruang kelas sering gagal",Jaringan
Saya melaporkan bahwa Password akun saya ditolak oleh sistem,Akun & Akses
"Mohon bantuan, Koneksi WiFi di kampus terputus terus",Jaringan
"Mohon bantuan, Monitor di gedung B tidak menampilkan gambar",Hardware
Internet di gedung A tiba tiba mati,Jaringan
Komputer fakultas tidak dapat dinyalakan,Hardware
Saya melaporkan bahwa Username saya tidak dikenali saat login,Akun & Akses
"Tolong, Aplikasi Excel di lantai 2 tidak dapat digunakan",Software
"Tolong, Saya tidak mendapat akses internet melalui WiFi ruang dosen",Jaringan
"Mohon bantuan, Microsoft Office di gedung B mengalami masalah",Software
Saya melaporkan bahwa Sistem menolak kredensial akun saya,Akun & Akses
Saya melaporkan bahwa Jaringan kampus di laboratorium komputer mengalami gangguan,Jaringan
"Tolong, Aplikasi yang digunakan di ruang dosen sering tertutup sendiri",Software
"Mohon bantuan, Komputer kampus tidak dapat dinyalakan",Hardware
"Tolong, Layar monitor ruang dosen berkedip",Hardware
Koneksi jaringan fakultas sering terputus,Jaringan
"Permisi, Browser di ruang kelas sering crash",Software
Hotspot kampus di gedung A tidak berfungsi,Jaringan
"Tolong, Aplikasi di ruang dosen tidak merespons",Software
Saya melaporkan bahwa Perangkat komputer di perpustakaan mengalami kerusakan,Hardware
"Tolong, Saya tidak dapat melihat nilai di portal akademik",Sistem Akademik
"Permisi, Software di komputer gedung perkuliahan berhenti tiba tiba",Software
Saya lupa kata sandi akun,Akun & Akses
Portal akademik mengalami error saat saya membuka halaman nilai,Sistem Akademik
Saya melaporkan bahwa Excel di laboratorium komputer sering mengalami error,Software
"Mohon bantuan, Hak akses saya ke sistem belum tersedia",Akun & Akses
Saya melaporkan bahwa Browser di perpustakaan sering crash,Software
"Mohon bantuan, Layar monitor gedung B berkedip",Hardware
"Tolong, Jaringan kampus di lantai 2 mengalami gangguan",Jaringan
Software komputer fakultas tidak berjalan normal,Software
Jaringan kampus di gedung A mengalami gangguan,Jaringan
Saya melaporkan bahwa Saya tidak dapat mengakses akun mahasiswa,Akun & Akses
"Permisi, Informasi jadwal kuliah tidak tersedia di SIAKAD",Sistem Akademik
"Tolong, Password saya sudah tidak bisa digunakan",Akun & Akses
"Mohon bantuan, Data mata kuliah saya tidak tampil di SIAKAD",Sistem Akademik
Akses akun saya bermasalah,Akun & Akses
"Tolong, Data mata kuliah saya tidak tampil di SIAKAD",Sistem Akademik
Saya melaporkan bahwa Saya tidak dapat melihat nilai di portal akademik,Sistem Akademik
"Tolong, Saya kesulitan mengakses internet dari lantai 2",Jaringan
Saya melaporkan bahwa Koneksi internet di laboratorium komputer sering gagal,Jaringan
Saya melaporkan bahwa Browser komputer laboratorium komputer tidak merespons,Software
Saya melaporkan bahwa Komputer perpustakaan mengeluarkan suara aneh,Hardware
Saya melaporkan bahwa Mouse di laboratorium komputer tidak terdeteksi,Hardware
Jaringan internet fakultas tidak stabil,Jaringan
Windows pada komputer fakultas mengalami error,Software
Saya tidak dapat mengakses akun mahasiswa,Akun & Akses
Saya melaporkan bahwa SIAKAD menampilkan kesalahan ketika membuka halaman KRS,Sistem Akademik
"Mohon bantuan, Proyektor di kampus tidak menyala",Hardware
"Mohon bantuan, Saya gagal masuk menggunakan akun kampus",Akun & Akses
"Tolong, Saya mengalami kendala pada halaman akademik",Sistem Akademik
Saya melaporkan bahwa Aplikasi di perpustakaan tidak merespons,Software
"Mohon bantuan, Monitor komputer gedung B tampak blank",Hardware
Saya tidak bisa login ke akun kampus,Akun & Akses
"Mohon bantuan, Browser komputer gedung B tidak merespons",Software
"Permisi, Printer ruang kelas mengalami kerusakan fisik",Hardware
"Tolong, Excel di lantai 2 sering mengalami error",Software
"Permisi, Daftar mata kuliah pada SIAKAD tidak muncul",Sistem Akademik
"Mohon bantuan, Portal akademik mengalami error saat saya membuka halaman KRS",Sistem Akademik
"Mohon bantuan, Jadwal perkuliahan di portal akademik tidak sesuai",Sistem Akademik
Program di fakultas mengalami crash,Software
"Permisi, Jaringan di ruang kelas bermasalah sejak pagi",Jaringan
"Mohon bantuan, Word di komputer kampus mengalami error",Software
"Tolong, Hotspot kampus di ruang dosen tidak berfungsi",Jaringan
"Tolong, Saya tidak dapat mengakses akun mahasiswa",Akun & Akses
"Mohon bantuan, Aplikasi pada komputer kampus tidak dapat dijalankan",Software
"Mohon bantuan, Keyboard komputer kampus tidak berfungsi",Hardware
"Tolong, Login akun kampus selalu gagal",Akun & Akses
Jadwal kuliah tidak muncul di SIAKAD,Sistem Akademik
"Permisi, Akses akun saya bermasalah",Akun & Akses
"Tolong, Jaringan internet lantai 2 tidak stabil",Jaringan
Data mata kuliah saya tidak tampil di SIAKAD,Sistem Akademik
Perangkat saya tidak bisa terhubung ke jaringan fakultas,Jaringan
Saya melaporkan bahwa Data KRS saya tidak muncul di SIAKAD,Sistem Akademik
"Tolong, Perangkat komputer di lantai 2 mengalami kerusakan",Hardware
Saya melaporkan bahwa Aplikasi yang digunakan di laboratorium komputer sering tertutup sendiri,Software
Saya melaporkan bahwa Akun pengguna saya tidak dapat digunakan,Akun & Akses
Saya melaporkan bahwa SIAKAD tidak bisa dibuka saat saya melihat data akademik,Sistem Akademik
